卡牌ID,中文名,英文名,消耗精力,类型,稀有度,伤害,格挡,抽牌,获得精力,特殊效果,描述,配图建议,获得途径
blame_shift,甩锅,Blame Shift,1,攻击,普通,7,0,0,0,给敌人施加1层【问责】,这事儿从一开始就不是我负责的。,🎯,初始卡组
slack_off,摸鱼,Slack Off,1,技能,普通,0,5,1,0,,带薪上厕所，职场第一课。,🐟,初始卡组
empty_promise,画饼,Empty Promise,0,技能,普通,0,0,3,2,下回合开始时失去3点精力,等项目上市了，咱们都财务自由！,🥧,初始卡组
manage_up,向上管理,Manage Up,2,攻击,普通,2,0,0,0,攻击4次,我们想要一个五彩斑斓的黑。,⬆️,初始卡组
meeting,开会,Meeting,1,技能,普通,0,3,2,0,,又是一个没有意义的会议。,🏢,初始卡组
team_building,团建,Team Building,2,技能,普通,0,8,0,0,获得1层【团队精神】,增进同事间的感情...才怪。,🎪,初始卡组
overtime,加班,Overtime,1,攻击,常见,10,0,0,0,失去3点心态值,为了公司的明天！,🕐,商店/奖励
coffee_break,咖啡时间,Coffee Break,1,技能,常见,0,0,2,1,,来杯咖啡提提神。,☕,商店/奖励
delegation,委派任务,Delegation,2,攻击,常见,5,0,0,0,敌人下回合无法行动,这个任务交给你了。,📋,商店/奖励
meeting_storm,头脑风暴,Brainstorm,3,技能,稀有,0,0,5,0,手牌中每有一张攻击牌就+2伤害,集思广益的力量！,🧠,商店/奖励
annual_review,年终考核,Annual Review,4,攻击,稀有,25,0,0,0,如果敌人血量低于50%直接击败,决定命运的时刻。,📊,BOSS奖励
work_from_home,居家办公,Work From Home,1,技能,稀有,0,12,0,0,回合结束时抽2张牌,舒适的工作环境。,🏠,事件获得
promotion,升职,Promotion,3,技能,传说,0,0,3,2,永久增加1点最大精力,职业生涯的里程碑！,⭐,BOSS奖励
resignation,辞职信,Resignation Letter,5,攻击,传说,50,0,0,0,使用后移除此牌,华丽的离场方式。,📝,特殊事件
